id	positive_size	positive_estimate	positive_p.value	positive_q.value	positive_message	negative_size	negative_estimate	negative_p.value	negative_q.value	negative_message
Streptococcus	9	2.23436600671412	4.18228849357121e-06	0.00096610864201495		2	0.47693542717747	0.85014985014985	0.977037887485649	
Oscillibacter	3	2.0881870713292	0.00010998602077049	0.0127033853989916		3	1.81106873408857	0.00665537019646392	0.348703813935403	
Flintibacter	2	1.97509114346809	0.00427582813668344	0.329238766524625						
Anaerotignum	1	2.00677311289266	0.00754770160033341	0.348703813935403		1	0.245742715706917	0.879120879120879	0.981047937569677	
Rothia	1	2.00068583348044	0.0100884394781796	0.388404919909914						
Absiella	1	1.76734012267897	0.108891108891109	0.626373626373626						
Acidaminococcus	2	1.72376155214741	0.043956043956044	0.626373626373626		3	1.10854486761702	0.424575424575425	0.895804195804196	
Allisonella	1	1.88299843151101	0.056943056943057	0.626373626373626						
Alloscardovia	1	1.85459112758735	0.0759240759240759	0.626373626373626						
Anaeromassilibacillus	2	1.63312887833458	0.0799200799200799	0.626373626373626		1	0.0437338731342818	0.98001998001998	1	
Bifidobacterium	8	1.64996599696488	0.0193753536485894	0.626373626373626		2	0.792827723100211	0.664335664335664	0.950769230769231	
Bilophila	1	1.81806745111407	0.0849150849150849	0.626373626373626						
Butyricicoccus	1	1.84444566190033	0.0779220779220779	0.626373626373626		2	1.34071183078422	0.264735264735265	0.854395604395604	
Coprobacillus	2	1.56266392673132	0.107892107892108	0.626373626373626						
Eggerthella	1	1.79371833346523	0.0949050949050949	0.626373626373626		1	0.599778831555864	0.697302697302697	0.950769230769231	
Eisenbergiella	2	1.58753390965012	0.0999000999000999	0.626373626373626		1	0.697659404761161	0.647352647352647	0.950769230769231	
Erysipelatoclostridium	5	1.64982437264099	0.032967032967033	0.626373626373626		2	0.621461314200946	0.764235764235764	0.952074103906565	
Faecalitalea	1	1.80386379915225	0.0919080919080919	0.626373626373626						
Flavonifractor	2	1.80929125734276	0.025974025974026	0.626373626373626		1	0.297806850390585	0.861138861138861	0.97737556561086	
Intestinibacillus	1	1.85256203444994	0.0759240759240759	0.626373626373626						
Lachnoclostridium	7	1.4903550152136	0.058941058941059	0.626373626373626		1	0.199926277185288	0.901098901098901	0.981837606837607	
Lacticaseibacillus	2	1.55230143384848	0.113886113886114	0.626373626373626						
Leuconostoc	1	1.89923117661024	0.04995004995005	0.626373626373626		1	1.00587908208848	0.486513486513487	0.936427209154482	
Ligilactobacillus	2	1.68001229605134	0.058941058941059	0.626373626373626						
Massilistercora	1	1.8789402452362	0.058941058941059	0.626373626373626						
