name	id	level	crp_n	crp_estimate	crp_se	crp_p.value	crp_q.value	neut_n	neut_estimate	neut_se	neut_p.value	neut_q.value	leuk_n	leuk_estimate	leuk_se	leuk_p.value	leuk_q.value
Streptococcus anginosus	HG3A.0680	species	8117	0.0315211818491545	0.00958770989606665	0.00101458793766436	0.00755304353594579	8092	0.0102108465572041	0.00360839235367637	0.00467011532881143	0.0446996752900522	8098	0.007194060987594	0.0026737078580894	0.0071457925250552	0.0797946831964498
Streptococcus oralis subsp. oralis	HG3A.0705	subspecies	8117	0.0515148503623672	0.0102989623031414	5.79654754913597e-07	1.94184342896055e-05	8092	0.0126838375866866	0.00387816463646495	0.00107784963215171	0.0168665920029197	8098	0.00728246238665054	0.0028740810247253	0.0113010280182355	0.0805041760999581
Escherichia coli	HG3A.0195	species	8117	0.000524285839627048	0.00965326937318456	0.956688157146014	0.971183432254287	8092	0.011679472713064	0.00363315211586965	0.00131105051505356	0.0168665920029197	8098	0.00698500724429663	0.00269244235547719	0.00949570324267952	0.0805041760999581
Eubacteriales sp.	HG3A.1354	order	8117	0.005232251796571	0.00948530577941659	0.581226529970028	0.704744408114574	8092	-0.00124365601985057	0.00356839646560278	0.72745923841064	0.826097779212083	8098	-0.00082665813781763	0.00264390930407075	0.754543311196782	0.90275717589615
Intestinimonas sp.	HG3A.1149	genus	8117	0.00993963701203679	0.00896470600674052	0.267570533925716	0.485258359917498	8092	-0.00336289665505943	0.0033783680459108	0.319562091369036	0.522211222481108	8098	-0.000800382897081047	0.00249900930053314	0.748764428445612	0.90275717589615
Anaerotignum lactatifermentans	HG3A.0676	species	8117	0.0149722480049603	0.00943273938932132	0.112492475853113	0.269178424362806	8092	0.00464630916195616	0.00354884267722524	0.190488746213882	0.364649885609432	8098	0.0042080890976437	0.00262930683791325	0.109537207749137	0.253068721351455
Lachnospiraceae sp.	HG3A.1518	family	8117	0.000221790231988607	0.0123490957486742	0.98567118212356	0.98567118212356	8092	0.00385399662194649	0.00464554892271678	0.406783876164731	0.585408705045945	8098	0.00255850965214945	0.00344209614441369	0.457322078303984	0.666099548834064
Eubacteriales sp.	HG3A.1158	order	8117	0.0148187438706799	0.0098704147212116	0.133309947788034	0.288121500058009	8092	0.00382219286852674	0.00371347003665937	0.303380369930229	0.513271057571249	8098	0.00407740045427726	0.00275126001037583	0.138376671910201	0.299072161870435
Firmicutes sp.	HG3A.0942	phylum	8117	-0.00970159009356325	0.0091548145095247	0.289301586497287	0.510084376192584	8092	0.0013100036907353	0.00344439074115419	0.703710933631849	0.818940405510589	8098	0.000716794645046002	0.00255201401558526	0.778814263941568	0.915448345334826
Streptococcus parasanguinis	HG3A.0117	species	8117	0.0540184455344617	0.010022926818736	7.26766594292894e-08	4.86933618176239e-06	8092	0.015144056954348	0.00377592080856481	6.109498311536e-05	0.00204668193436456	8098	0.0117091335913224	0.00279610359751097	2.8488245417109e-05	0.0019087124429463
