name	id	level	prev	n	estimate	lower	upper	se	p.value	q.value	message	influential_n	influential_dfbeta	influential_estimate	influential_lower	influential_upper	influential_se	influential_p.value	influential_q.value	influential_message	interaction_estimate	interaction_p.value	interaction_q.value	interaction_message
Streptococcus anginosus	HG3A.0680	species	0.324464153732446	8118	0.102678449485214	0.0610490370214034	0.144307861949026	0.0212366652998794	1.35661555806644e-06	0.000146514480271176		8118		0.102678449485214	0.0610490370214034	0.144307861949026	0.0212366652998794	1.35661555806644e-06	0.000146514480271176		0.0183134146773168	0.671514682125718	0.900981940344144	
Streptococcus oralis subsp. oralis	HG3A.0705	subspecies	0.556787386055679	8118	0.102137097413526	0.0573703871898231	0.14690380763723	0.0228371140818749	7.84105177007468e-06	0.000423416795584033		8118		0.102137097413526	0.0573703871898231	0.14690380763723	0.0228371140818749	7.84105177007468e-06	0.000423416795584033		-0.064118566992043	0.173555969344611	0.729862338766413	
Escherichia coli	HG3A.0195	species	0.657551120965755	8118	0.0925205680163631	0.0506227358631834	0.134418400169543	0.0213735958680919	1.51800809915089e-05	0.00054648291569432		8118		0.0925205680163631	0.0506227358631834	0.134418400169543	0.0213735958680919	1.51800809915089e-05	0.00054648291569432		-0.0390486409703356	0.362439367244297	0.73501900370454	
Eubacteriales sp.	HG3A.1354	order	0.0338753387533875	8118	0.0893809032508393	0.048209640677757	0.130552165823922	0.0210029465104288	2.10838976067803e-05	0.000569265235383069		8117	-1.56140589207552	0.122173451515378	0.0586665201986327	0.185680382832123	0.0323971763986323	0.000163694488527981	0.00281770737894998		-0.0762993188117528	0.369328965775673	0.73501900370454	
Intestinimonas sp.	HG3A.1149	genus	0.0471791081547179	8118	0.079661270391414	0.0407425344906515	0.118580006292176	0.0198538513830188	6.0657855762396e-05	0.00131020968446775		8117	1.03187488414612	0.0591750035937785	0.00695458681512828	0.111395420372429	0.0266395182212489	0.0263569729345823	0.0437931242605368		-0.00662989421502766	0.919833579069016	0.970663102863613	
Anaerotignum lactatifermentans	HG3A.0676	species	0.0926336536092634	8118	0.0825659127421969	0.0416108216807235	0.12352100380367	0.020892669622822	7.81991272592295e-05	0.00140758429066613		8118		0.0825659127421969	0.0416108216807235	0.12352100380367	0.020892669622822	7.81991272592295e-05	0.0021113764359992		0.0185387768953668	0.658899394220721	0.900981940344144	
Lachnospiraceae sp.	HG3A.1518	family	0.00776053215077605	8118	0.101178031258852	0.0475625802714824	0.154793482246222	0.0273511760107274	0.000217715641813252	0.0031455105552243		8118		0.101178031258852	0.0475625802714824	0.154793482246222	0.0273511760107274	0.000217715641813252	0.00281770737894998		-0.0636472287071387	0.288915690179767	0.729862338766413	
Eubacteriales sp.	HG3A.1158	order	0.019339738851934	8118	0.0804607379569633	0.0376004503396226	0.123321025574304	0.0218645791260515	0.000234808948245832	0.0031455105552243		8118		0.0804607379569633	0.0376004503396226	0.123321025574304	0.0218645791260515	0.000234808948245832	0.00281770737894998		0.0552453652358748	0.231195687330851	0.729862338766413	
Firmicutes sp.	HG3A.0942	phylum	0.0321507760532151	8118	0.0740511112795151	0.0343004418417647	0.113801780717266	0.0202782506966559	0.000262125879602025	0.0031455105552243		8118		0.0740511112795151	0.0343004418417647	0.113801780717266	0.0202782506966559	0.000262125879602025	0.00283095949970187		0.0417554500048836	0.336941948886321	0.729862338766413	
Streptococcus parasanguinis	HG3A.0117	species	0.911061837891106	8118	0.0786605017263205	0.0350625507011964	0.122258452751445	0.0222408878454859	0.00040737945826866	0.00397845714237531		8118		0.0786605017263205	0.0350625507011964	0.122258452751445	0.0222408878454859	0.00040737945826866	0.00371322666621696		-0.0605165048256453	0.176225499217812	0.729862338766413	
Ligilactobacillus salivarius	HG3A.0919	species	0.0631929046563193	8118	0.0890750038162024	0.039397366815711	0.138752640816694	0.025342355018473	0.000442414678662505	0.00397845714237531		8118		0.0890750038162024	0.039397366815711	0.138752640816694	0.025342355018473	0.000442414678662505	0.00371322666621696		-0.0379851146207143	0.480583855443938	0.842611490991746	
Oscillibacter sp.	HG3A.0046	genus	0.858709041635871	8118	-0.0735373058857078	-0.114621766397154	-0.0324528453742616	0.0209586656469429	0.000452813174834873	0.00397845714237531		8118		-0.0735373058857078	-0.114621766397154	-0.0324528453742616	0.0209586656469429	0.000452813174834873	0.00371322666621696		0.00215419132018063	0.959236199470595	0.974299779448276	
Lachnospiraceae sp.	HG3A.0930	family	0.107908351810791	8118	0.0756084713649772	0.033099580306629	0.118117362423325	0.0216853190628128	0.00049179792204509	0.00397845714237531		8118		0.0756084713649772	0.033099580306629	0.118117362423325	0.0216853190628128	0.00049179792204509	0.00371322666621696		0.0926071881462324	0.0544693145654503	0.712160141575205	
Firmicutes sp.	HG3A.1222	phylum	0.0181079083518108	8118	0.0699297156423954	0.0304692944886328	0.109390136796158	0.0201301845747457	0.000515725925863466	0.00397845714237531		8118		0.0699297156423954	0.0304692944886328	0.109390136796158	0.0201301845747457	0.000515725925863466	0.00371322666621696		0.0591472048486214	0.163412206300164	0.729862338766413	
Streptococcus gordonii	HG3A.0713	species	0.397142153239714	8118	0.0735682418545324	0.0313618007474837	0.115774682961581	0.021531028430167	0.000636668994456444	0.0045840167600864		8118		0.0735682418545324	0.0313618007474837	0.115774682961581	0.021531028430167	0.000636668994456444	0.004297515712581		-0.0285155329307838	0.577680669413931	0.877660074046545	
Eubacteriales sp.	HG3A.0511	order	0.264227642276423	8118	0.0718248747037886	0.0301634427844598	0.113486306623117	0.0212529995794109	0.000729611632399922	0.00481358296209311		8118		0.0718248747037886	0.0301634427844598	0.113486306623117	0.0212529995794109	0.000729611632399922	0.00455180664906836		0.104413333499791	0.018756775812093	0.712160141575205	
Oscillospiraceae sp.	HG3A.1212	family	0.0620842572062084	8118	0.0683495972992823	0.0285774259873513	0.108121768611213	0.0202892195784697	0.000758634441511394	0.00481358296209311		8118		0.0683495972992823	0.0285774259873513	0.108121768611213	0.0202892195784697	0.000758634441511394	0.00455180664906836		-0.0314255340964089	0.442527936993696	0.810051138903714	
Streptococcus agalactiae	HG3A.1733	species	0.0332594235033259	8118	0.0673171197518873	0.0279114201608396	0.106722819342935	0.0201022691312339	0.0008155807453386	0.00481358296209311		8117	-2.80511835574285	0.123694038051087	0.0583326706915378	0.189055405410635	0.0333431911147119	0.000208894428950113	0.00281770737894998		-0.145948990204705	0.0268608176056114	0.712160141575205	
Parabacteroides distasonis	HG3A.0024	species	0.929046563192905	8118	0.0710734889147168	0.0293386898236864	0.112808288005747	0.0212904268208062	0.000846834039627491	0.00481358296209311		8118		0.0710734889147168	0.0293386898236864	0.112808288005747	0.0212904268208062	0.000846834039627491	0.00481358296209311		0.0657375164725817	0.130378095430146	0.729862338766413	
Oscillospiraceae sp.	HG3A.0142	family	0.633037694013304	8118	0.0697837304005019	0.0285228077964101	0.111044653004594	0.0210486853272084	0.000919372358307429	0.00496461073486012		8118		0.0697837304005019	0.0285228077964101	0.111044653004594	0.0210486853272084	0.000919372358307429	0.00496461073486012		0.0502291755732699	0.251180359815335	0.729862338766413	
Intestinimonas sp.	HG3A.1018	genus	0.126139443212614	8118	0.066809393978632	0.0269187867171911	0.106700001240073	0.0203496380295204	0.00103123020670575	0.0051436025635894		8118		0.066809393978632	0.0269187867171911	0.106700001240073	0.0203496380295204	0.00103123020670575	0.00497803460869696		0.0538245319067022	0.225726122047539	0.729862338766413	
Eubacteriales sp.	HG3A.1129	order	0.0695984232569599	8118	0.0652741464940448	0.0261964857053108	0.104351807282779	0.0199349247024322	0.00106352280405139	0.0051436025635894		8118		0.0652741464940448	0.0261964857053108	0.104351807282779	0.0199349247024322	0.00106352280405139	0.00497803460869696		-0.0348856198069417	0.385847027058821	0.73501900370454	
Eubacteriales sp.	HG3A.0721	order	0.236388272973639	8118	0.0679817991042803	0.0271440146283882	0.108819583580172	0.0208328273010591	0.00110622991304377	0.0051436025635894		8118		0.0679817991042803	0.0271440146283882	0.108819583580172	0.0208328273010591	0.00110622991304377	0.00497803460869696		0.0824186639803854	0.0739527160709034	0.712160141575205	
Eggerthellales sp.	HG3A.1909	order	0.002710027100271	8118	0.0644021036939643	0.0254945439297773	0.103309663458151	0.0198481500325131	0.00118041822512897	0.0051436025635894		8118		0.0644021036939643	0.0254945439297773	0.103309663458151	0.0198481500325131	0.00118041822512897	0.00509940673255713		0.0157917574265893	0.729690486075468	0.916355494141285	
Limosilactobacillus oris	HG3A.1462	species	0.0256220744025622	8118	0.0670244782188381	0.0264245192614343	0.107624437176242	0.0207115039232599	0.00121669610142567	0.0051436025635894		8117	-1.67676244361995	0.101750094519274	0.0406381813925041	0.162862007646045	0.0311753912301513	0.00110393401085225	0.00497803460869696		-0.00952675382880646	0.837566262953566	0.948748987006354	
Eubacteriales sp.	HG3A.0190	order	0.630820399113082	8118	0.0667505604786616	0.0262536053095201	0.107247515647803	0.0206589579744587	0.00123827469123448	0.0051436025635894		8118		0.0667505604786616	0.0262536053095201	0.107247515647803	0.0206589579744587	0.00123827469123448	0.00512199674423665		-0.0437125174737238	0.295944414488815	0.729862338766413	
Blautia obeum	HG3A.0009	species	0.962182803646218	8118	0.0671710922763893	0.0259555363023062	0.108386648250472	0.0210255421723989	0.00140502390571104	0.00555730224535787		8118		0.0671710922763893	0.0259555363023062	0.108386648250472	0.0210255421723989	0.00140502390571104	0.00536567113344898		0.0532729464710835	0.210731856178307	0.729862338766413	
Eubacteriales sp.	HG3A.1303	order	0.0121951219512195	8118	0.0643532299204736	0.0247766241701763	0.103929835670771	0.0201894545294143	0.0014407820636113	0.00555730224535787		8118		0.0643532299204736	0.0247766241701763	0.103929835670771	0.0201894545294143	0.0014407820636113	0.00536567113344898		0.0544829672921149	0.185429976781008	0.729862338766413	
Lachnospiraceae sp.	HG3A.0433	family	0.391475732939148	8118	0.0681228986278609	0.0255354960111902	0.110710301244532	0.0217253706414344	0.00172103391814443	0.00626512645883902		8118		0.0681228986278609	0.0255354960111902	0.110710301244532	0.0217253706414344	0.00172103391814443	0.0060693412570003		0.0769762412756742	0.0791289046194673	0.712160141575205	
Eubacteriales sp.	HG3A.0935	order	0.0289480167528948	8118	-0.0656186893213102	-0.106726893161878	-0.0245104854807426	0.0209707779757945	0.00176002192570809	0.00626512645883902		8118		-0.0656186893213102	-0.106726893161878	-0.0245104854807426	0.0209707779757945	0.00176002192570809	0.0060693412570003		-0.0296406483487505	0.483721411495262	0.842611490991746	
Bifidobacterium breve	HG3A.1387	species	0.0222961320522296	8118	0.0649306406654765	0.0241709046811857	0.105690376649767	0.0207930119494795	0.0017983233354075	0.00626512645883902		8118		0.0649306406654765	0.0241709046811857	0.105690376649767	0.0207930119494795	0.0017983233354075	0.0060693412570003		0.0469927251294933	0.4239492650057	0.789422769320959	
Rothia mucilaginosa	HG3A.0559	species	0.306356245380636	8118	0.0636059737876816	0.023029407690181	0.104182539885182	0.0206995703814016	0.00212763932479078	0.0071807827211689		8117	-1.32057313519523	0.0909320706290961	0.0451558531897234	0.136708288068469	0.0233520996920612	9.94264963837016e-05	0.00214761232188796		-0.0878086151932819	0.0345029770444964	0.712160141575205	
Oscillibacter sp.	HG3A.0243	genus	0.592510470559251	8118	0.0660344856473144	0.0232076067498726	0.108861364544756	0.0218475361326341	0.00251479920449162	0.00805556392714627		8118		0.0660344856473144	0.0232076067498726	0.108861364544756	0.0218475361326341	0.00251479920449162	0.00805556392714627		0.0951107035530868	0.0322849933333635	0.712160141575205	
Flintibacter sp.	HG3A.0922	genus	0.140428677014043	8118	0.0631254680796136	0.0221507268648762	0.104100209294351	0.0209026938749856	0.00253601086595346	0.00805556392714627		8118		0.0631254680796136	0.0221507268648762	0.104100209294351	0.0209026938749856	0.00253601086595346	0.00805556392714627		0.0238572252824176	0.610117862915139	0.900981940344144	
Eubacteriales sp.	HG3A.0100	order	0.656319290465632	8118	-0.0653969163034027	-0.108048576436653	-0.0227452561701525	0.0217581507190727	0.00265856631622497	0.0082035760614942		8118		-0.0653969163034027	-0.108048576436653	-0.0227452561701525	0.0217581507190727	0.00265856631622497	0.0082035760614942		0.0200851099539828	0.64971215851847	0.900981940344144	
Bacteria sp.	HG3A.0920	superkingdom	0.0311653116531165	8118	-0.0607970081069691	-0.100690596907807	-0.0209034193061313	0.0203511590203416	0.00282218860210153	0.00846656580630457		8118		-0.0607970081069691	-0.100690596907807	-0.0209034193061313	0.0203511590203416	0.00282218860210153	0.00846656580630457		-0.045772645645523	0.262449377989178	0.729862338766413	
