name	id	prev	n	estimate	lower	upper	se	p.value	q.value	message
nitrate reduction (dissimilatory)	MF0101	1	8118	0.0792496082676411	0.0378785981388792	0.120620618396403	0.0211048437963796	0.000174543771881913	0.00361995572312248	
anaerobic fatty acid beta-oxidation	MF0059	0.999630450849963	8118	0.0798684593749316	0.0380728744878035	0.12166404426206	0.0213214352482839	0.000180997786156124	0.00361995572312248	
proline degradation	MF0040	1	8118	0.0723465631941916	0.0304521668118051	0.114240959576578	0.0213718431572551	0.00071486323778077	0.00953150983707693	
propionate production I	MF0093	0.429169746242917	8118	0.0709112130867371	0.0270086444448003	0.114813781728674	0.0223962831868255	0.00155023559019815	0.0155023559019815	
fucose degradation	MF0016	1	8118	0.0639116717233677	0.022418769587314	0.105404573859421	0.021167025383543	0.00254078629660881	0.0203262903728705	
lactate consumption II	MF0080	1	8118	0.0644279610645984	0.0218079319020828	0.107047990227114	0.0217420132609901	0.00305265343978472	0.0203510229318981	
lactate consumption I	MF0079	1	8118	0.0648802223867844	0.0211409932840767	0.108619451489492	0.0223129574800046	0.00365057415474526	0.0208604237414015	
asparagine degradation	MF0042	1	8118	0.0593157065034493	0.0170498293033097	0.101581583703589	0.0215613484586782	0.00595439656523032	0.0264184672040122	
arginine degradation II	MF0052	0.582039911308204	8118	0.0650988425413459	0.0185129058841001	0.111684779198592	0.0237651666313503	0.0061715424847679	0.0264184672040122	
lysine degradation II	MF0058	1	8118	0.0582434211955176	0.0162198240773875	0.100267018313648	0.0214377512945368	0.00660461680100305	0.0264184672040122	
valine degradation I	MF0041	1	8118	0.0559407210195374	0.0143701430633519	0.0975112989757229	0.021206650392239	0.00835865851189234	0.0303951218614267	
isoleucine degradation	MF0036	1	8118	0.0517312884863023	0.00919331228708355	0.094269264685521	0.0217001552894169	0.0171528806400841	0.0517123476722825	
succinate conversion to propionate	MF0084	0.379773343187977	8118	0.0487873710924356	0.00861336560503353	0.0889613765798377	0.020494209675864	0.0173104213618063	0.0517123476722825	
NADH:ferredoxin oxidoreductase	MF0069	0.736018723823602	8118	0.0518428797017689	0.00885528276955135	0.0948304766339864	0.0219295238565442	0.0180993216852989	0.0517123476722825	
succinate production	MF0096	1	8118	0.0489631144293165	0.00684786559228478	0.0910783632663481	0.0214845057802803	0.0226935773710565	0.0605162063228174	
4-aminobutyrate degradation	MF0076	1	8118	0.0497226321359156	0.00526400395098816	0.0941812603208429	0.0226799500313544	0.0283822448414379	0.0709556121035947	
phenylalanine degradation	MF0024	0.686745503818675	8118	0.0501052312630419	0.00426005178614289	0.0959504107399408	0.0233872801331904	0.0321903640641085	0.07574203309202	
glutamate degradation II	MF0031	1	8118	0.0443379022211973	0.0021578779112083	0.0865179265311862	0.0215175515431926	0.0393787270722715	0.0807813594125758	
propionate production III	MF0095	1	8118	-0.0439849983241241	-0.0860223429277745	-0.00194765372047367	0.0214447661170522	0.040291427170531	0.0807813594125758	
formate conversion	MF0077	1	8118	0.0450385064077475	0.00196819615019005	0.0881088166653049	0.0219717191053447	0.0404126656315795	0.0807813594125758	
sucrose degradation II	MF0011	1	8118	0.045046233344292	0.00154318560983818	0.0885492810787459	0.0221924730626982	0.0424102136916023	0.0807813594125758	
glutamine degradation I	MF0046	1	8118	0.0419722946445102	-0.000450393105839081	0.0843949823948595	0.0216413434220775	0.0524818134087972	0.0954214789250858	
putrescine degradation	MF0082	0.626385809312639	8118	0.0410465291554098	-0.00091076456862306	0.0830038228794426	0.021403929229519	0.0551834445482315	0.0959712079099679	
cysteine biosynthesis/homocysteine degradation	MF0043	1	8118	-0.0387559511632408	-0.081942701309613	0.00443079898313141	0.0220311194335621	0.0785910617062649	0.130985102843775	
arabinoxylan degradation	MF0001	1	8118	-0.0351492271777806	-0.0761864889594252	0.00588803460386406	0.0209345836876227	0.0931906710009264	0.144268399488041	
pyruvate:formate lyase	MF0074	1	8118	0.0367940976302862	-0.00624015628611314	0.0798283515466855	0.0219533219547234	0.0937744596672265	0.144268399488041	
pyruvate:ferredoxin oxidoreductase	MF0073	1	8118	-0.034619814203607	-0.0758872688899164	0.0066476404827024	0.0210520175767379	0.100114590425941	0.148317911742135	
propionate production II	MF0094	1	8118	0.03506198852462	-0.00761505692920675	0.0777390339784468	0.0217710998671422	0.107331986664402	0.153331409520574	
trehalose degradation	MF0012	1	8118	0.0327951020628868	-0.0102448585341764	0.0758350626599499	0.0219562352318373	0.13530463320808	0.186627080287007	
galacturonate degradation I	MF0022	1	8118	0.0316444991186357	-0.0108895341454375	0.0741785323827089	0.0216981449933882	0.144770630236626	0.193027506982169	
threonine degradation I	MF0049	1	8118	0.0304403457264056	-0.0128846063476131	0.0737652978004242	0.0221016185629916	0.168461155856119	0.217369233362734	
arginine degradation I	MF0051	1	8118	0.0271670912294659	-0.0148005150727066	0.0691346975316384	0.0214091893568975	0.204497572551867	0.255621965689834	
tyrosine degradation I	MF0026	0.999630450849963	8118	0.0224097163859347	-0.0191772624803886	0.0639966952522579	0.0212150174965707	0.290856841404715	0.35255374715723	
urea degradation	MF0085	1	8118	0.0208865591862742	-0.0215066610848481	0.0632797794573966	0.0216263110880865	0.334176589414534	0.393148928722981	
sucrose degradation I	MF0010	1	8118	0.0180880599313287	-0.0256078295243442	0.0617839493870015	0.0222908496032274	0.417127632213671	0.466544117078806	
