id	positive_size	positive_estimate	positive_p.value	positive_q.value	positive_message	negative_size	negative_estimate	negative_p.value	negative_q.value	negative_message
Streptococcus	9	2.26203079501944	3.97490713155087e-06	0.00091820354738825		2	0.427123348019755	0.88011988011988	0.978855267954794	
Oscillibacter	3	2.08069954618553	0.000280252516753494	0.0323691656850286		3	1.79654222656489	0.0109851739231239	0.463207572811587	
Flintibacter	2	1.94349032472007	0.00539123635998424	0.415125199718786						
Anaerotignum	1	2.01047799519674	0.00769715620221524	0.44451077067793		1	0.225424651302589	0.89010989010989	0.978855267954794	
Rothia	1	2.00439792061449	0.0120313655275737	0.463207572811587						
Absiella	1	1.78348854412614	0.114885114885115	0.643207855973814						
Acidaminococcus	2	1.72063690026478	0.0529470529470529	0.643207855973814		3	1.07004299579188	0.445554445554446	0.927234927234927	
Allisonella	1	1.89090319507919	0.0609390609390609	0.643207855973814						
Alloscardovia	1	1.85239605605829	0.0809190809190809	0.643207855973814						
Anaeromassilibacillus	2	1.61072885105476	0.0949050949050949	0.643207855973814		1	0.0487404651465058	0.975024975024975	1	
Bifidobacterium	8	1.64675871880864	0.0202765152392445	0.643207855973814		2	0.763583721223996	0.696303696303696	0.963267070008643	
Bilophila	1	1.82199568314705	0.100899100899101	0.643207855973814						
Butyricicoccus	1	1.84226259842121	0.0929070929070929	0.643207855973814		2	1.30379886361293	0.258741258741259	0.857549857549858	
Colibacter	1	1.74295471357782	0.130869130869131	0.643207855973814						
Coprobacillus	2	1.53519403801417	0.12987012987013	0.643207855973814						
Eggerthella	1	1.8037554594003	0.107892107892108	0.643207855973814		1	0.568638760042567	0.725274725274725	0.963267070008643	
Eisenbergiella	2	1.56581625951711	0.116883116883117	0.643207855973814		1	0.767662326057465	0.626373626373626	0.963267070008643	
Erysipelatoclostridium	5	1.66784124174437	0.033966033966034	0.643207855973814		2	0.586287237140324	0.807192807192807	0.964497041420118	
Faecalicatena	1	1.74903478816007	0.126873126873127	0.643207855973814						
Faecalitalea	1	1.79970207634547	0.108891108891109	0.643207855973814						
Flavonifractor	2	1.77813032860418	0.035964035964036	0.643207855973814		1	0.272134263734657	0.86013986013986	0.978779840848806	
Hungatella	3	1.47420219307484	0.113886113886114	0.643207855973814		1	1.55157147383043	0.214785214785215	0.811414392059553	
Intestinibacillus	1	1.85644943911312	0.0799200799200799	0.643207855973814						
Lachnoclostridium	7	1.50704906028768	0.0619380619380619	0.643207855973814		1	0.194961860586023	0.904095904095904	0.985123367198839	
Lacticaseibacillus	2	1.54131848231476	0.128871128871129	0.643207855973814						
Lactobacillus	6	1.37841450485145	0.130869130869131	0.643207855973814		2	0.503683193419522	0.851148851148851	0.973343488194973	
Leuconostoc	1	1.90711672729852	0.051948051948052	0.643207855973814		1	0.970747597501239	0.511488511488512	0.945054945054945	
Ligilactobacillus	2	1.65256999435511	0.0759240759240759	0.643207855973814						
Massilistercora	1	1.87468966285987	0.0689310689310689	0.643207855973814						
Mediterraneibacter	5	1.65604980695238	0.035964035964036	0.643207855973814						
Merdimonas	1	1.85847613064054	0.0789210789210789	0.643207855973814						
Mogibacterium	1	1.76930170343423	0.121878121878122	0.643207855973814						
Olsenella	5	1.64530292738319	0.036963036963037	0.643207855973814		1	0.615348372474635	0.704295704295704	0.963267070008643	
