genus	id	positive_size	positive_estimate	positive_p.value	positive_q.value	positive_message	negative_size	negative_estimate	negative_p.value	negative_q.value	negative_message	name	hl1	hl2
Blautia	MF0050	250	1.49207530616753	2.18404989772582e-06	0.000438994029442889		157	1.18569942586877	0.0699300699300699	0.401598401598402		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Blautia	MF0012	270	1.46169926302521	7.29438803645544e-06	0.000488723998442515		187	0.789611095840535	0.97002997002997	0.999000999000999		trehalose degradation	carbohydrate degradation	disaccharide degradation
Blautia	MF0049	425	1.42485917699708	7.29438803645544e-06	0.000488723998442515		320	1.04516936592862	0.326673326673327	0.859115567976327		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Blautia	MF0015	438	1.34472849057025	0.000200653101527902	0.0100828183517771		401	1.0877340580671	0.18981018981019	0.657790485376692		fructose degradation	carbohydrate degradation	monosaccharide degradation
Blautia	MF0065	475	1.32388868630876	0.00042151542226635	0.0158014814366233		386	0.978797696518177	0.579420579420579	0.999000999000999		Bifidobacterium shunt	central metabolism	energy metabolism
Blautia	MF0097	44	0.632933519022008	0.986013986013986	0.999000999000999		56	1.57792904035203	0.000471686013033532	0.0158014814366233		homoacetogenesis	gas metabolism	acetogenesis
Blautia	MF0060	114	1.43925161010926	0.000828876325615112	0.0238005916355196		49	0.767261186631353	0.92007992007992	0.999000999000999		glycerol degradation I	lipid degradation	glycerol degradation
Blautia	MF0094	131	1.36488099515839	0.00524251498949909	0.105374551288932		76	1.05680641043846	0.32967032967033	0.859115567976327		propionate production II	organic acid metabolism	propionate metabolism
Ruminococcus	MF0049	429	1.44615126927519	2.73435145505896e-06	0.000274802321233425		314	1.06105048383686	0.278721278721279	0.823867309161427		threonine degradation I	amino acid degradation	polar, uncharged amino acid degradation
Ruminococcus	MF0050	258	1.49498688157017	1.44601987150105e-06	0.000274802321233425		156	1.18876149332459	0.058941058941059	0.303773149926996		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Ruminococcus	MF0012	273	1.4764756710351	5.63396314684674e-06	0.000377475530838731		185	0.776097467763204	0.978021978021978	0.999000999000999		trehalose degradation	carbohydrate degradation	disaccharide degradation
Ruminococcus	MF0097	52	0.78285634349524	0.906093906093906	0.999000999000999		54	1.6992939194363	4.23752009998995e-05	0.00212935385024495		homoacetogenesis	gas metabolism	acetogenesis
Ruminococcus	MF0015	441	1.34863297197582	0.000211989317561616	0.00852197056597695		393	1.09882618390561	0.155844155844156	0.61376359489567		fructose degradation	carbohydrate degradation	monosaccharide degradation
Ruminococcus	MF0065	482	1.33403644134976	0.000334934828273008	0.0112203167471458		382	0.998365161821557	0.495504495504496	0.976435329376506		Bifidobacterium shunt	central metabolism	energy metabolism
Ruminococcus	MF0060	116	1.43917091589981	0.000737288771068078	0.0211707204263834		50	0.763765088468052	0.901098901098901	0.999000999000999		glycerol degradation I	lipid degradation	glycerol degradation
Ruminococcus	MF0094	132	1.38896726670731	0.0010584774006314	0.026594244690864		76	1.06035676928963	0.345654345654346	0.870881927061702		propionate production II	organic acid metabolism	propionate metabolism
Anaerostipes	MF0050	260	1.51049689617074	7.96084875960145e-07	0.000160013060067989		159	1.17309714638512	0.0799200799200799	0.391803318632587		threonine degradation II	amino acid degradation	polar, uncharged amino acid degradation
Anaerostipes	MF0012	275	1.47482919749959	3.42223045560691e-06	0.000343934160788495		187	0.796309640531457	0.964035964035964	1		trehalose degradation	carbohydrate degradation	disaccharide degradation
