name	id	level	prev	n	estimate	lower	upper	se	p.value	q.value	message	interaction_estimate	interaction_p.value	interaction_q.value	interaction_message
Streptococcus anginosus	HG3A.0680	species	0.324464153732446	8118	0.102743094079068	0.061119766180757	0.144366421977379	0.021233561066692	1.33133912894433e-06	0.000142453286797043		0.0179661093216619	0.677350462523873	0.925453028432331	
Streptococcus oralis subsp. oralis	HG3A.0705	subspecies	0.556787386055679	8118	0.102347145975581	0.0575820661139544	0.147112225837207	0.0228362818267085	7.50563600180531e-06	0.000401551526096584		-0.0642330787034561	0.172775637992399	0.744017274199188	
Escherichia coli	HG3A.0195	species	0.657551120965755	8118	0.0917242287337564	0.0498243479524295	0.133624109515083	0.0213746409471929	1.79756324340081e-05	0.000547259876343855		-0.0403621086363613	0.346582099840226	0.744017274199188	
Eubacteriales sp.	HG3A.1354	order	0.0338753387533875	8118	0.0895210111204004	0.0483505078341738	0.130691514406627	0.0210025584091474	2.04583131343497e-05	0.000547259876343855		-0.0753742699628056	0.375134759201774	0.744017274199188	
Intestinimonas sp.	HG3A.1149	genus	0.0471791081547179	8118	0.0797371258019835	0.0408189535616158	0.118655298042351	0.0198535631124061	5.96706659201978e-05	0.00127695225069223		-0.00663528521481743	0.919766708560128	0.970386347300538	
Anaerotignum lactatifermentans	HG3A.0676	species	0.0926336536092634	8118	0.0822837259513927	0.0413350341513659	0.12323241775142	0.0208894046847405	8.25130550578751e-05	0.00147148281519877		0.0180395182738629	0.667504923229672	0.925453028432331	
Lachnospiraceae sp.	HG3A.1518	family	0.00776053215077605	8118	0.101108276017157	0.0474974024122501	0.154719149622065	0.0273488409148302	0.000219637069482481	0.00335730949066079		-0.0635792523468593	0.289424833558519	0.744017274199188	
Firmicutes sp.	HG3A.0942	phylum	0.0321507760532151	8118	0.0742344056536764	0.0345056236663287	0.113963187641024	0.0202670672564287	0.000251088354148729	0.00335830673673925		0.0402060728539001	0.355035736350442	0.744017274199188	
Eubacteriales sp.	HG3A.1158	order	0.019339738851934	8118	0.0792355599027094	0.0363964986390805	0.122074621166338	0.0218537233681688	0.000289963689541167	0.00344734608676721		0.0538601348728384	0.242854937162282	0.744017274199188	
Streptococcus parasanguinis	HG3A.0117	species	0.911061837891106	8118	0.0787217581177224	0.0351303625368578	0.122313153698587	0.0222375434489179	0.000402347821423547	0.00388870986106983		-0.0612316272749316	0.171114072524364	0.744017274199188	
