name	id	level	ppi_n	ppi_estimate	ppi_se	ppi_p.value	ppi_q.value	crohn_n	crohn_estimate	crohn_se	crohn_p.value	crohn_q.value	antib_n	antib_estimate	antib_se	antib_p.value	antib_q.value	shannon_n	shannon_estimate	shannon_se	shannon_p.value	shannon_q.value
Streptococcus anginosus	HG3A.0680	species	6969	0.101219254234774	0.0226654829616213	8.10577653188254e-06	0.000283121114942495	7983	0.110170334937484	0.0215080561352805	3.09047416632183e-07	1.97790346644597e-05	6538	0.0977886415593327	0.0234046596299634	2.97774582707608e-05	0.000952878664664347	8118	0.102587974172947	0.0212361773657583	1.38511948918052e-06	8.86476473075535e-05
Streptococcus oralis subsp. oralis	HG3A.0705	subspecies	6969	0.0920694172641579	0.0261403813168517	0.000430916082629828	0.00298488127233822	7983	0.0949640567910933	0.024028195512432	7.81179866190855e-05	0.000999910228724295	6538	0.0856868687803026	0.0236505691886691	0.000293422163217497	0.00236088787624056	8118	0.101831180839084	0.0228936464765087	8.7843831647333e-06	0.000281100261271466
Escherichia coli	HG3A.0195	species	6969	0.0889167130182221	0.0230145250410196	0.000112808994861168	0.00107004733757657	7983	0.0861790297690729	0.0215895525078902	6.61990488008244e-05	0.000999910228724295	6538	0.088837524412866	0.0235792225737001	0.000166294006952031	0.00236088787624056	8118	0.0912197684265986	0.02143903377482	2.11584529330183e-05	0.000338535246928293
Eubacteriales sp.	HG3A.1354	order	6969	0.0937341259646303	0.0245385558449353	0.000134705386337384	0.00107764309069907	7983	0.0804616944083633	0.0203120049844238	7.52066652957183e-05	0.000999910228724295	6538	0.0785819568681733	0.0239037959350481	0.00101653192883546	0.00342410754976155	8118	0.0897785490296558	0.0210063561613949	1.94338231825518e-05	0.000338535246928293
Intestinimonas sp.	HG3A.1149	genus	6969	0.0869780964165114	0.0214801815299407	5.19559363399861e-05	0.000720342980822532	7983	0.0488684231831285	0.0204319226345229	0.0167908325492292	0.0194235056693135	6538	0.108017801902057	0.0222324164130904	1.21050184654075e-06	7.74721181786078e-05	8118	0.079592750284236	0.0198559496612844	6.16597625231882e-05	0.000789244960296809
Anaerotignum lactatifermentans	HG3A.0676	species	6969	0.100902163055914	0.0226901737833107	8.84753484195297e-06	0.000283121114942495	7983	0.0733269992074116	0.0211251366779539	0.000521163958482154	0.00264823627394203	6538	0.0796498195502389	0.0233600366174942	0.000654453359939303	0.00279233433574102	8118	0.0817966845196767	0.0210083401439676	9.95999640319599e-05	0.00106239961634091
Lachnospiraceae sp.	HG3A.1518	family	6969	0.0964330106782699	0.029153050896813	0.000945117653827219	0.00465288691114939	7983	0.094522174050093	0.0255140607650962	0.00021308794604146	0.00170470356833168	6538	0.0999238482415752	0.027040450939989	0.000221419991417988	0.00236088787624056	8118	0.101863834647861	0.0273672397073358	0.000198924857687915	0.00163463172190279
Firmicutes sp.	HG3A.0942	phylum	6969	0.0602544421114106	0.0217908178037486	0.00570532083700828	0.0127087155190473	7983	0.0747937945162391	0.0204830113121998	0.000262410397618014	0.00186602949417255	6538	0.0633223205491905	0.0226271025527111	0.00514933454251169	0.00998658820365903	8118	0.0754776055578766	0.0203151561449907	0.000204328965237848	0.00163463172190279
Eubacteriales sp.	HG3A.1158	order	6969	0.0879965420566792	0.0228291679471453	0.000117036427547437	0.00107004733757657	7983	0.0817701170662229	0.0214284715530772	0.0001367023346754	0.0014581582365376	6538	0.0762293369371325	0.0231343398972309	0.000989388404868855	0.00342410754976155	8118	0.0795737686414477	0.021859716619007	0.000274163046768682	0.00194960388813285
Streptococcus parasanguinis	HG3A.0117	species	6969	0.0673689012296693	0.0238751328672537	0.00479050254876003	0.011588856513076	7983	0.0764877031521798	0.0221323310236161	0.000551310169265739	0.00264823627394203	6538	0.0739179366142142	0.0250073331000242	0.00312945778163218	0.00673245563837809	8118	0.0780962325103599	0.0223065600169166	0.000465973727850997	0.00241831624270128
